region,locationType,ifcoSystemPartner,locationTag,locationName,extLocationId,countryName
EU,Producer,null,PRD,Mario Joaquim Parcelas Perpetuo,d53603db-2778-43f2-8c0c-7cd62add3347,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Bom Dia Lisboa - Santa Quiteria,9e6a3ec4-a358-4027-88af-da879019b6ff,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Mangualde,2de77c14-79f3-436c-8090-2e0100071ea1,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Tavira,8d635e75-c41f-4f38-ab05-067281305756,Portugal
EU,Producer,null,PRD,Vintage Fruit Lda.,15caa6c1-9420-47fc-b7c7-c810aa6ec54d,Portugal
EU,Producer,null,PRD,Morrisons Manufacturing Flaxby,8e541bde-72f9-4282-9544-84ef4b9727f3,Great Britain
EU,Producer,null,PRD,Hortapronta - Hortas Do Oeste S.A.,4d0c645c-d7ce-447d-8fab-ad69aea5f4f3,Portugal
EU,Retailer Reverse Logistics,Sonae,RRL,Xdock MS - Steff Alenquer,c239f5c4-d0ea-4598-90bf-768041f679ac,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Bom Dia Esmoriz,695440f7-f4a9-4e76-ae6a-56ed5856c2ca,Portugal
EU,Producer,null,PRD,Hortaiberica Lda.,8ba2addc-2230-4ec3-8c85-43f5182a71ad,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Braga,a2e84d23-ce9b-4c5d-b0a9-563d65332b53,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Alcobaca,12008724-3984-4037-b054-bfb5f9168011,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Cartaxo,da322b21-e666-47d1-b5dd-5874c086cab1,Portugal
EU,Producer,null,PRD,"Hortalmarginho, Lda",0b458b25-115c-4be6-923e-6d28db3e0a24,Portugal
EU,Distribution Centre,AUCHAN,DC,Auchan Retail TORRES NOVAS,aeb199c8-1560-4d1e-aec0-a1b64a91c30f,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Bom Dia Lisboa - Defensores de Chaves,30c368fa-d801-44ca-81e8-ea7ad9604817,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Chaves,4ffe91c9-2a2b-425a-9c3b-eed5aba8312b,Portugal
EU,Producer,null,PRD,J.M. Saldanha - Comérc. Prod. Hort.,5a5e0b9e-e4f9-4075-a658-58c24b941810,Portugal
EU,Producer,null,PRD,Beyra D’Ouro Fresh - Frutas Cruzeiro,a9f6b878-ae53-4347-bac5-ac1ada95c2d6,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Retail Park Viseu,dbf03817-e8b1-4a37-bbf4-c91ee6a7d6e0,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Gaia (Rechousa),88363e85-6df7-4066-8fc5-0c0edec8bec9,Portugal
EU,Producer,null,PRD,Batatas Mirense Lda.,cc66e6db-e2d3-4275-a27c-809a0f797781,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Santo Antonio,ef6e3aa4-3399-4745-9c49-93791bfbba2e,Portugal
EU,Distribution Centre,Morrisons Supermarkets PLC,DC,Morrisons Latimer RDC,5ec73d7e-f5d8-49df-9c33-d020b4b2a861,Great Britain
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo VR Santo Antonio,d754c34e-bd05-48f0-b74b-37776e0cbd2a,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Bom Dia Celeiros,4c618cc2-7417-42ff-877f-cbad8a2bdc88,Portugal
EU,Producer,null,PRD,Campoaves - Pro. Ext. Aves Lafoes,90baf0f8-57bc-4bee-83d2-46d32770f8d2,Portugal
EU,Shop / Point of Sale,Sonae,POS,CBD 800 OLIVEIRA FRADES - 1484,6c4f69fd-111d-4d9e-b72c-1da3a09f6e2d,Portugal
EU,Producer,null,PRD,Origem do Campo,a8226b69-c29c-43c5-9875-88589367bf0e,Portugal
EU,Shop / Point of Sale,AUCHAN,POS,MA Alvares Cabral - 440,eeccdc94-932d-4b2a-a979-a49401596bf4,Portugal
EU,Shop / Point of Sale,Sonae,POS,Meu Super Vitoria,42bed779-474b-49d5-a70b-e3d4b1851852,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Bom Dia Porto - Asprela,1d69d3e1-7003-4f97-a495-5bb91ea0f236,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Carregado,dcea2125-aa71-40b3-8d78-838df3ec06d4,Portugal
EU,Distribution Centre,Sonae,DC,ENTREPOSTO DA MAIA,6d59112a-ee11-4aa7-8c9b-cd0a8db9c65c,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Maia,e63fb823-21de-414b-bd5a-d76efd33cc11,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Santarem,13acdc3a-01d6-4ebb-9c69-5d58d89afee2,Portugal
EU,Producer,null,PRD,GL International Food SA,3b9f8d3a-ff2d-48a9-b4bf-a741613f7a76,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Bom Dia Seia,c025ffba-a000-4d71-bd8c-4d4c8479e908,Portugal
EU,Producer,null,PRD,Horfil - Hortas Finas Portugal Lda,3e9cb2a0-22c9-425d-8db7-1dd276fab9cd,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Viseu,3b517908-27c1-4588-9b10-371c2b9ede84,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Bom Dia Povoa do Lanhoso,ead6e390-ff21-445d-acea-c775afdef05a,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Tapada das Merces,f60c3d55-a34a-47bd-b236-f24deea3a099,Portugal
EU,Producer,null,PRD,FMB- Frutas e Horticolas do Barrio,2e9ea944-82c9-4228-9fa4-c4503a119519,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Amadora,eb42f954-2c7e-4e06-8653-2ae5a5168a7a,Portugal
EU,Producer,null,PRD,"AGRICOLA VILLENA, S.L.",821967a5-f33c-46d3-aae9-087652d7d31b,Spain
